squirrel_id,trapping_id,year,vial_number,poop_id,poop_time,comments
8620,70011,2006,1,1-06,1048,FMR F. FC. O3. 1048
7704,69129,2006,1,10-06,1040,FMR I. 934. Pled ndl out 5cc. 1040.FO1
10137,68528,2006,1,11-06,NA,FMR I. R -2.4.M
10167,70015,2006,1,13-06,NA,RMR-DAY-80
10183,70122,2006,1,14-06,NA,RMR NonBreeder female
10624,69355,2006,1,15-06,923,FMR I. 0.5 at 923. O2. 1029. R O.15M
10181,68902,2006,1,2-06,NA,FMR I
8733,69592,2006,1,3-06,NA,RMR non-br
8733,70083,2006,1,4-06,951,FMR I.849. F2. O2 951
7833,69687,2006,1,5-06,NA,RMR-DAY-80
7836,69688,2006,1,6-06,858,FMR F..858
8398,69026,2006,1,7-06,1114,FMR I. F3. 0.5 at 1114.
7833,68415,2006,1,8-06,NA,FMR I. R M.1.M
7836,69546,2006,1,9-06,953,FMR I. F1. 953
7833,73432,2007,1,1-07,NA,
7833,73651,2007,1,2-07,NA,
7833,73651,2007,1,2-07,NA,
8727,73548,2007,1,10-07,NA,
8727,74620,2007,1,11-07,944,
8727,75057,2007,1,12-07,1147,
7828,73505,2007,1,13-07,NA,
7828,73800,2007,1,14-07,NA,
7828,74142,2007,1,15-07,1039,
7828,74661,2007,1,16-07,1106,Small nips
7828,75112,2007,1,17-07,1129,
8733,73511,2007,1,18-07,NA,
8733,74668,2007,1,19-07,925,
8733,74878,2007,1,20-07,NA,
8733,75494,2007,1,21-07,1022,
7833,73926,2007,1,3-07,NA,
7833,74262,2007,1,4-07,824,Escaped
7833,74551,2007,1,5-07,820,
7833,75044,2007,1,6-07,900,
7833,75488,2007,1,7-07,1211,Not handled
7833,75849,2007,1,8-07,728,"Not preg (=palpated, P0)"
7833,76798,2007,1,9-07,NA,
7661,76389,2007,1,101-07,NA,
7629,74916,2007,1,102-07,916,
7505,74915,2007,1,103-07,1018,Only checked tags/weighed
10341,76599,2007,1,104-07,NA,
7582,75753,2007,1,105-07,NA,
7457,74968,2007,1,106-07,1029,Only checked tags/weighed
10410,76842,2007,1,107-07,NA,
10745,75353,2007,1,108-07,NA,
7582,75407,2007,1,109-07,1103,
7504,74914,2007,1,110-07,1018,Only checked tags/weighed
8400,78308,2007,1,111-07,NA,"BLED FINAL FMR, DID NOT SEX OR RD TAG"
8723,78299,2007,1,112-07,NA,RMR; electronic scale (249g)
7427,74912,2007,1,113-07,916,
7494,74913,2007,1,114-07,916,
7692,76639,2007,1,115-07,NA,
7713,76750,2007,1,116-07,NA,
7697,76390,2007,1,117-07,NA,
7617,76043,2007,1,118-07,NA,
10376,78200,2007,1,119-07,NA,INJECTED AND BLED FOR FMR
7921,78326,2007,1,123-07,NA,"FINAL BLEED FMR, DID NOT SEX / RD TAGS"
8288,78500,2007,1,124-07,NA,"INITIAL FMR, DID NOT SEX"
10376,77239,2007,1,126-07,NA,Not handled
8603,78434,2007,1,127-07,NA,"FMR FINAL, DID NOT SEX OR RD TAGS"
10304,75347,2007,1,128-07,910,
10226,74922,2007,1,130-07,953,Swollen reproductive tract?
11063,78305,2007,1,132-07,NA,"INJECTED AND BLED FOR FMR, DID NOT SEX"
7862,78193,2007,1,133-07,NA,FMR FINAL BLEED
10410,78008,2007,1,134-07,NA,INJECTED FOR FMR AND BLED
10389,78301,2007,1,136-07,NA,"INJECTED AND BLED FOR FMR, DID NOT SEX"
10389,78301,2007,1,137-07,NA,"INJECTED AND BLED FOR FMR, DID NOT SEX"
8385,78350,2007,1,138-07,NA,"INITIAL FMR, DID NOT SEX"
10203,75411,2007,1,141-07,1046,
8733,76243,2007,1,22-07,958,"Not preg (=palpated, P0)"
8733,76804,2007,1,23-07,NA,"Not preg (=palpated, P0)"
8619,74329,2007,1,24-07,1121,
8619,74666,2007,1,25-07,1201,
8619,74876,2007,1,26-07,1000,Did not weigh
8619,76369,2007,1,27-07,1115,Not preg (P0)
8619,76803,2007,1,28-07,NA,"Not preg (=palpated, P0)"
7603,73692,2007,1,29-07,NA,
7603,74326,2007,1,31-07,1126,
7603,74659,2007,1,32-07,840,
7603,75036,2007,1,33-07,1036,J14 midden
7837,74433,2007,1,34-07,934,
7837,74574,2007,1,35-07,821,
10181,73440,2007,1,36-07,NA,
10181,73804,2007,1,37-07,NA,
10181,74096,2007,1,38-07,1046,
10318,74705,2007,1,39-07,1214,
10318,75134,2007,1,40-07,715,Got milk
10181,75130,2007,1,41-07,1250,LL? No weight (Pesola broke).
7836,73507,2007,1,42-07,NA,
7836,74143,2007,1,43-07,1000,
